epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.6085623510300167,0.7817460317460317,0.46331685075053464,0.8296296296296296,0.002
2,0.3986241860995217,0.8632936507936508,0.39329592497260485,0.8703703703703703,0.002
3,0.34772047135565015,0.8781746031746032,0.3550637744091175,0.8842592592592593,0.002
4,0.31553464617047994,0.8890873015873015,0.33936522051140117,0.887962962962963,0.002
5,0.2897499556579287,0.9005952380952381,0.32275838013048525,0.8824074074074074,0.002
6,0.2657049138394613,0.9079365079365079,0.3128116250038147,0.8925925925925926,0.0002
7,0.2651818404595057,0.9087301587301587,0.306141009816417,0.8916666666666667,0.0002
8,0.2611633699091654,0.9061507936507937,0.30860057186197354,0.8953703703703704,0.0002
9,0.25837365843000865,0.9134920634920635,0.3019036019289935,0.8953703703703704,0.0002
10,0.26183783416710205,0.908531746031746,0.30422472335674144,0.9,0.0002
